	Frequency [Hz]	Response PSD [(mm²)/Hz]	
1	19.2	2.6669e-006	
2	22.413	1.8748e-009	
3	27.053	7.8987e-008	
4	31.693	1.3039e-007	
5	33.3	1.5391e-007	
6	35.437	1.9732e-007	
7	36.	2.1458e-007	
8	38.216	3.1952e-007	
9	40.156	5.9578e-007	
10	41.452	1.2336e-006	
11	42.293	2.6806e-006	
12	42.827	5.7031e-006	
13	43.164	1.0855e-005	
14	43.373	1.7035e-005	
15	43.503	2.187e-005	
16	43.584	2.4491e-005	
17	43.634	2.5613e-005	
18	43.664	2.6029e-005	
19	43.683	2.6165e-005	
20	43.695	2.6201e-005	
21	43.702	2.6205e-005	
22	43.707	2.62e-005	
23	43.709	2.6195e-005	
24	43.714	2.6181e-005	
25	43.718	2.6163e-005	
26	43.721	2.6149e-005	
27	43.725	2.6122e-005	
28	43.732	2.6066e-005	
29	43.744	2.5947e-005	
30	43.763	2.5677e-005	
31	43.794	2.5054e-005	
32	43.844	2.363e-005	
33	43.925	2.0637e-005	
34	44.057	1.5506e-005	
35	44.075	1.4867e-005	
36	44.271	9.322e-006	
37	44.618	4.4604e-006	
38	44.632	4.3458e-006	
39	44.982	2.4047e-006	
40	45.182	1.8024e-006	
41	45.201	1.7578e-006	
42	45.336	1.469e-006	
43	45.42	1.3201e-006	
44	45.472	1.2376e-006	
45	45.504	1.1899e-006	
46	45.524	1.1617e-006	
47	45.536	1.1448e-006	
48	45.543	1.1345e-006	
49	45.548	1.1282e-006	
50	45.551	1.1244e-006	
51	45.555	1.1182e-006	
52	45.56	1.1122e-006	
53	45.563	1.1084e-006	
54	45.567	1.1023e-006	
55	45.575	1.0925e-006	
56	45.587	1.0769e-006	
57	45.607	1.0522e-006	
58	45.639	1.0137e-006	
59	45.691	9.5543e-007	
60	45.776	8.7087e-007	
61	45.913	7.5576e-007	
62	46.136	6.115e-007	
63	46.498	4.487e-007	
64	47.086	2.8936e-007	
65	48.041	1.5943e-007	
66	49.591	7.3358e-008	
67	51.88	2.9848e-008	
68	52.108	2.7586e-008	
69	56.196	8.2256e-009	
70	60.779	2.8155e-009	
71	62.833	1.8462e-009	
72	67.958	7.1016e-010	
73	73.289	2.8195e-010	
74	73.611	2.665e-010	
75	77.009	1.4076e-010	
76	79.494	7.5803e-011	
77	80.667	4.8976e-011	
78	81.106	4.0888e-011	
79	82.131	2.5403e-011	
80	82.776	3.3034e-011	
81	83.178	6.5386e-011	
82	83.428	1.057e-010	
83	83.582	1.3752e-010	
84	83.677	1.5782e-010	
85	83.736	1.6987e-010	
86	83.773	1.7694e-010	
87	83.795	1.8112e-010	
88	83.809	1.8362e-010	
89	83.817	1.8513e-010	
90	83.822	1.8605e-010	
91	83.831	1.8751e-010	
92	83.839	1.8894e-010	
93	83.844	1.8982e-010	
94	83.853	1.9123e-010	
95	83.867	1.9347e-010	
96	83.889	1.9695e-010	
97	83.925	2.022e-010	
98	83.985	2.0968e-010	
99	84.08	2.193e-010	
100	84.201	2.2842e-010	
101	84.236	2.3083e-010	
102	84.489	2.551e-010	
103	84.61	2.7697e-010	
104	84.864	3.5751e-010	
105	84.899	3.7256e-010	
106	85.021	4.2991e-010	
107	85.118	4.7856e-010	
108	85.178	5.0799e-010	
109	85.215	5.2534e-010	
110	85.237	5.3561e-010	
111	85.251	5.4174e-010	
112	85.26	5.4544e-010	
113	85.265	5.4768e-010	
114	85.274	5.5123e-010	
115	85.282	5.5471e-010	
116	85.288	5.5684e-010	
117	85.296	5.6025e-010	
118	85.31	5.6563e-010	
119	85.333	5.7392e-010	
120	85.37	5.8612e-010	
121	85.43	6.0239e-010	
122	85.528	6.1892e-010	
123	85.686	6.2137e-010	
124	85.943	5.8179e-010	
125	86.361	4.855e-010	
126	87.038	3.6529e-010	
127	87.33	3.3004e-010	
128	88.139	2.479e-010	
129	89.926	1.5767e-010	
130	92.828	9.4609e-011	
131	97.54	5.0745e-011	
132	105.19	2.2504e-011	
133	112.84	1.1236e-011	
134	113.33	1.0781e-011	
