	Frequency [Hz]	Response PSD [(mm²)/Hz]	
1	19.2	7.0822e-007	
2	22.413	4.1352e-007	
3	27.053	2.1493e-007	
4	31.693	1.2394e-007	
5	33.3	1.0436e-007	
6	35.437	8.1377e-008	
7	36.	7.6401e-008	
8	38.216	5.7151e-008	
9	40.156	4.4929e-008	
10	41.452	3.8504e-008	
11	42.293	3.4926e-008	
12	42.827	3.2857e-008	
13	43.164	3.1632e-008	
14	43.373	3.0896e-008	
15	43.503	3.045e-008	
16	43.584	3.0177e-008	
17	43.634	3.001e-008	
18	43.664	2.9908e-008	
19	43.683	2.9845e-008	
20	43.695	2.9806e-008	
21	43.702	2.9783e-008	
22	43.707	2.9768e-008	
23	43.709	2.9759e-008	
24	43.714	2.9745e-008	
25	43.718	2.973e-008	
26	43.721	2.9721e-008	
27	43.725	2.9706e-008	
28	43.732	2.9683e-008	
29	43.744	2.9644e-008	
30	43.763	2.9582e-008	
31	43.794	2.9481e-008	
32	43.844	2.9318e-008	
33	43.925	2.9056e-008	
34	44.057	2.8636e-008	
35	44.075	2.8579e-008	
36	44.271	2.797e-008	
37	44.618	2.6927e-008	
38	44.632	2.6887e-008	
39	44.982	2.5884e-008	
40	45.182	2.5332e-008	
41	45.201	2.5282e-008	
42	45.336	2.4917e-008	
43	45.42	2.4694e-008	
44	45.472	2.4557e-008	
45	45.504	2.4474e-008	
46	45.524	2.4422e-008	
47	45.536	2.439e-008	
48	45.543	2.4371e-008	
49	45.548	2.4359e-008	
50	45.551	2.4352e-008	
51	45.555	2.434e-008	
52	45.56	2.4328e-008	
53	45.563	2.4321e-008	
54	45.567	2.4309e-008	
55	45.575	2.4289e-008	
56	45.587	2.4258e-008	
57	45.607	2.4207e-008	
58	45.639	2.4124e-008	
59	45.691	2.3991e-008	
60	45.776	2.3776e-008	
61	45.913	2.3433e-008	
62	46.136	2.2887e-008	
63	46.498	2.2034e-008	
64	47.086	2.0729e-008	
65	48.041	1.8803e-008	
66	49.591	1.6114e-008	
67	51.88	1.2941e-008	
68	52.108	1.2668e-008	
69	56.196	8.7768e-009	
70	60.779	5.9963e-009	
71	62.833	5.1021e-009	
72	67.958	3.4857e-009	
73	73.289	2.415e-009	
74	73.611	2.3641e-009	
75	77.009	1.8986e-009	
76	79.494	1.6271e-009	
77	80.667	1.5153e-009	
78	81.106	1.5244e-009	
79	82.131	1.5458e-009	
80	82.776	1.5593e-009	
81	83.178	1.5677e-009	
82	83.428	1.5729e-009	
83	83.582	1.5761e-009	
84	83.677	1.5781e-009	
85	83.736	1.5794e-009	
86	83.773	1.5801e-009	
87	83.795	1.5806e-009	
88	83.809	1.5809e-009	
89	83.817	1.5811e-009	
90	83.822	1.5812e-009	
91	83.831	1.5813e-009	
92	83.839	1.5815e-009	
93	83.844	1.5816e-009	
94	83.853	1.5818e-009	
95	83.867	1.5821e-009	
96	83.889	1.5826e-009	
97	83.925	1.5833e-009	
98	83.985	1.5846e-009	
99	84.08	1.5866e-009	
100	84.201	1.5891e-009	
101	84.236	1.5898e-009	
102	84.489	1.5951e-009	
103	84.61	1.5976e-009	
104	84.864	1.603e-009	
105	84.899	1.6037e-009	
106	85.021	1.6062e-009	
107	85.118	1.6083e-009	
108	85.178	1.6095e-009	
109	85.215	1.6103e-009	
110	85.237	1.6108e-009	
111	85.251	1.6111e-009	
112	85.26	1.6113e-009	
113	85.265	1.6114e-009	
114	85.274	1.6116e-009	
115	85.282	1.6117e-009	
116	85.288	1.6118e-009	
117	85.296	1.612e-009	
118	85.31	1.6123e-009	
119	85.333	1.6128e-009	
120	85.37	1.6136e-009	
121	85.43	1.6148e-009	
122	85.528	1.6169e-009	
123	85.686	1.6202e-009	
124	85.943	1.6256e-009	
125	86.361	1.6343e-009	
126	87.038	1.6486e-009	
127	87.33	1.6547e-009	
128	88.139	1.5721e-009	
129	89.926	1.4062e-009	
130	92.828	1.1787e-009	
131	97.54	8.9521e-010	
132	105.19	5.8845e-010	
133	112.84	3.9838e-010	
134	113.33	3.8896e-010	
