	Frequency [Hz]	Response PSD [(mm²)/Hz]	
1	19.2	1.3646e-006	
2	20.936	1.3867e-006	
3	23.408	1.7601e-006	
4	25.244	2.7815e-006	
5	26.526	5.165e-006	
6	27.382	1.0657e-005	
7	27.937	2.3081e-005	
8	28.29	4.8972e-005	
9	28.512	9.3021e-005	
10	28.651	1.4577e-004	
11	28.737	1.8696e-004	
12	28.79	2.0924e-004	
13	28.823	2.1874e-004	
14	28.843	2.2223e-004	
15	28.856	2.2336e-004	
16	28.863	2.2365e-004	
17	28.868	2.2367e-004	
18	28.871	2.2362e-004	
19	28.873	2.2357e-004	
20	28.876	2.2345e-004	
21	28.879	2.2328e-004	
22	28.88	2.2316e-004	
23	28.883	2.2291e-004	
24	28.888	2.2243e-004	
25	28.896	2.2139e-004	
26	28.908	2.1905e-004	
27	28.929	2.1368e-004	
28	28.962	2.0145e-004	
29	29.015	1.7579e-004	
30	29.102	1.3192e-004	
31	29.244	7.9124e-005	
32	29.473	3.7693e-005	
33	29.846	1.5125e-005	
34	30.451	5.3965e-006	
35	31.034	2.6156e-006	
36	31.434	1.7335e-006	
37	33.029	4.8451e-007	
38	33.3	4.0447e-007	
39	35.62	1.2849e-007	
40	36.	1.0852e-007	
41	36.357	8.9452e-008	
42	39.827	1.2497e-008	
43	40.651	6.9547e-009	
44	43.84	3.1873e-010	
45	46.065	8.2426e-009	
46	46.659	1.4645e-008	
47	47.552	3.4774e-008	
48	48.516	1.037e-007	
49	49.129	2.6036e-007	
50	49.515	5.4391e-007	
51	49.755	9.0129e-007	
52	49.905	1.1952e-006	
53	49.997	1.365e-006	
54	50.054	1.4446e-006	
55	50.089	1.4788e-006	
56	50.111	1.4932e-006	
57	50.124	1.4994e-006	
58	50.133	1.5022e-006	
59	50.138	1.5035e-006	
60	50.141	1.5041e-006	
61	50.146	1.5049e-006	
62	50.151	1.5054e-006	
63	50.154	1.5055e-006	
64	50.159	1.5055e-006	
65	50.167	1.5048e-006	
66	50.181	1.502e-006	
67	50.202	1.493e-006	
68	50.238	1.4671e-006	
69	50.295	1.3997e-006	
70	50.388	1.2449e-006	
71	50.539	9.6299e-007	
72	50.785	6.0584e-007	
73	51.183	3.1074e-007	
74	51.311	2.5886e-007	
75	51.831	1.3946e-007	
76	52.351	8.6682e-008	
77	52.882	5.8807e-008	
78	53.013	5.3998e-008	
79	53.43	4.2185e-008	
80	53.689	3.656e-008	
81	53.85	3.3421e-008	
82	53.95	3.155e-008	
83	54.011	3.0421e-008	
84	54.049	2.9738e-008	
85	54.073	2.9324e-008	
86	54.087	2.9072e-008	
87	54.096	2.8917e-008	
88	54.102	2.8823e-008	
89	54.105	2.8765e-008	
90	54.11	2.8672e-008	
91	54.116	2.8579e-008	
92	54.119	2.8522e-008	
93	54.125	2.8429e-008	
94	54.134	2.8279e-008	
95	54.148	2.8037e-008	
96	54.171	2.7652e-008	
97	54.21	2.7045e-008	
98	54.271	2.6113e-008	
99	54.372	2.4744e-008	
100	54.535	2.2859e-008	
101	54.8	2.0396e-008	
102	55.23	1.7251e-008	
103	55.928	1.3449e-008	
104	57.062	9.3802e-009	
105	58.904	5.6849e-009	
106	61.894	2.9023e-009	
107	66.749	1.2002e-009	
108	74.633	3.8168e-010	
109	80.667	1.8248e-010	
110	87.33	6.6249e-011	
111	87.434	6.5419e-011	
112	100.24	1.5424e-011	
113	113.04	3.7382e-012	
114	113.33	3.601e-012	
