	Frequency [Hz]	Response PSD [(mm²)/Hz]	
1	19.2	4.7215e-007	
2	20.936	3.5597e-007	
3	23.408	2.4728e-007	
4	25.244	1.9326e-007	
5	26.526	1.6442e-007	
6	27.382	1.4823e-007	
7	27.937	1.3883e-007	
8	28.29	1.3325e-007	
9	28.512	1.299e-007	
10	28.651	1.2786e-007	
11	28.737	1.2662e-007	
12	28.79	1.2585e-007	
13	28.823	1.2539e-007	
14	28.843	1.251e-007	
15	28.856	1.2492e-007	
16	28.863	1.2481e-007	
17	28.868	1.2475e-007	
18	28.871	1.247e-007	
19	28.873	1.2468e-007	
20	28.876	1.2464e-007	
21	28.879	1.246e-007	
22	28.88	1.2457e-007	
23	28.883	1.2453e-007	
24	28.888	1.2446e-007	
25	28.896	1.2436e-007	
26	28.908	1.2418e-007	
27	28.929	1.239e-007	
28	28.962	1.2344e-007	
29	29.015	1.2269e-007	
30	29.102	1.215e-007	
31	29.244	1.1959e-007	
32	29.473	1.1658e-007	
33	29.846	1.119e-007	
34	30.451	1.048e-007	
35	31.034	9.8513e-008	
36	31.434	9.4481e-008	
37	33.029	8.0383e-008	
38	33.3	7.827e-008	
39	35.62	7.6653e-008	
40	36.	7.6401e-008	
41	36.357	7.3446e-008	
42	39.827	5.1002e-008	
43	40.651	4.6993e-008	
44	43.84	3.4741e-008	
45	46.065	2.8499e-008	
46	46.659	2.7076e-008	
47	47.552	2.5099e-008	
48	48.516	2.3162e-008	
49	49.129	2.2027e-008	
50	49.515	2.1349e-008	
51	49.755	2.0939e-008	
52	49.905	2.0689e-008	
53	49.997	2.0537e-008	
54	50.054	2.0443e-008	
55	50.089	2.0386e-008	
56	50.111	2.0351e-008	
57	50.124	2.0329e-008	
58	50.133	2.0316e-008	
59	50.138	2.0307e-008	
60	50.141	2.0302e-008	
61	50.146	2.0294e-008	
62	50.151	2.0286e-008	
63	50.154	2.0281e-008	
64	50.159	2.0273e-008	
65	50.167	2.0259e-008	
66	50.181	2.0238e-008	
67	50.202	2.0203e-008	
68	50.238	2.0146e-008	
69	50.295	2.0054e-008	
70	50.388	1.9907e-008	
71	50.539	1.9669e-008	
72	50.785	1.9292e-008	
73	51.183	1.8698e-008	
74	51.311	1.8513e-008	
75	51.831	1.7781e-008	
76	52.351	1.7084e-008	
77	52.882	1.6409e-008	
78	53.013	1.6247e-008	
79	53.43	1.5747e-008	
80	53.689	1.5444e-008	
81	53.85	1.526e-008	
82	53.95	1.5148e-008	
83	54.011	1.5079e-008	
84	54.049	1.5037e-008	
85	54.073	1.5011e-008	
86	54.087	1.4995e-008	
87	54.096	1.4985e-008	
88	54.102	1.4979e-008	
89	54.105	1.4975e-008	
90	54.11	1.4969e-008	
91	54.116	1.4963e-008	
92	54.119	1.4959e-008	
93	54.125	1.4953e-008	
94	54.134	1.4943e-008	
95	54.148	1.4927e-008	
96	54.171	1.4901e-008	
97	54.21	1.486e-008	
98	54.271	1.4792e-008	
99	54.372	1.4683e-008	
100	54.535	1.4508e-008	
101	54.8	1.423e-008	
102	55.23	1.3791e-008	
103	55.928	1.3115e-008	
104	57.062	1.2103e-008	
105	58.904	1.066e-008	
106	61.894	8.7442e-009	
107	66.749	6.4644e-009	
108	74.633	4.1361e-009	
109	80.667	3.0306e-009	
110	87.33	1.6547e-009	
111	87.434	1.6438e-009	
112	100.24	7.6941e-010	
113	113.04	3.9459e-010	
114	113.33	3.8896e-010	
